RegionName,City,State,Metro,CountyName,rent,income,leftright,left,Median Rent
10034,New York,NY,New York,New York,1450,45643,left,TRUE,3399.5
10040,New York,NY,New York,New York,1550,45811,left,TRUE,
10037,New York,NY,New York,New York,1725,39463,right,FALSE,
10032,New York,NY,New York,New York,1850,40054,left,TRUE,
10033,New York,NY,New York,New York,1875,46349,left,TRUE,
10030,New York,NY,New York,New York,1987,33720,right,FALSE,
10031,New York,NY,New York,New York,2000,41848,left,TRUE,
10035,New York,NY,New York,New York,2100,26893,right,FALSE,
10026,New York,NY,New York,New York,2580,52082,right,FALSE,
10075,New York,NY,New York,New York,2600,114481,right,FALSE,
10027,New York,NY,New York,New York,2650,42754,left,TRUE,
11109,New York,NY,New York,New York,2869,133070,,FALSE,not on map
10028,New York,NY,New York,New York,2946,"111,302",right,FALSE,
10128,New York,NY,New York,New York,3000,103817,right,FALSE,
11231,New York,NY,New York,New York,3000,84223,,FALSE,not on map
10002,New York,NY,New York,New York,3050,35594,right,FALSE,
10029,New York,NY,New York,New York,3247.5,32500,right,FALSE,
10038,New York,NY,New York,New York,3297.5,82910,right,FALSE,
10017,New York,NY,New York,New York,3300,106795,right,FALSE,
10024,New York,NY,New York,New York,3300,118594,left,TRUE,
10012,New York,NY,New York,New York,3350,101815,right,FALSE,
10036,New York,NY,New York,New York,3399,83812,left,TRUE,
10018,New York,NY,New York,New York,3400,105479,left,TRUE,
10021,New York,NY,New York,New York,3400,115681,right,FALSE,
10025,New York,NY,New York,New York,3402.5,80025,left,TRUE,
10009,New York,NY,New York,New York,3422.5,60788,right,FALSE,
10001,New York,NY,New York,New York,3470,85168,left,TRUE,
10022,New York,NY,New York,New York,3472.5,123693,right,FALSE,
10280,New York,NY,New York,New York,3495,146875,left,TRUE,
10006,New York,NY,New York,New York,3500,125364,left,TRUE,
10019,New York,NY,New York,New York,3500,94477,left,TRUE,
10016,New York,NY,New York,New York,3540,102703,right,FALSE,
10010,New York,NY,New York,New York,3617.5,110142,right,FALSE,
10014,New York,NY,New York,New York,3700,119026,left,TRUE,
10023,New York,NY,New York,New York,3700,115080,left,TRUE,
10011,New York,NY,New York,New York,3800,114134,left,TRUE,
10003,New York,NY,New York,New York,3895,100791,right,FALSE,
10005,New York,NY,New York,New York,3895,130116,right,FALSE,
10004,New York,NY,New York,New York,4195,123056,left,TRUE,
10069,New York,NY,New York,New York,4380,155702,left,TRUE,
10065,New York,NY,New York,New York,4795,118310,right,FALSE,
10282,New York,NY,New York,New York,5262.5,250001,left,TRUE,
10013,New York,NY,New York,New York,5500,104167,left,TRUE,
10007,New York,NY,New York,New York,5545,234958,left,TRUE,